APMC's,Commodity,Min Price(Price in Rs.),Modal Price(Price in Rs.),Max Price(Price in Rs.)
ADONI,CASTOR SEED,5750,5950,5990
ADONI,ARHAR WHOLE / TUR (RED GRAM),5390,5390,5390
ADONI,COTTON,4590,5739,7696
ADONI,RED CHILLI-DRY,1889,2519,8300
ADONI,COTTON,4590,5739,7696
ADONI,COTTON,4590,5739,7696
ADONI,GROUND NUT,2317,4970,6610
ADONI,GROUND NUT,2317,4970,6610
ADONI,COTTON,4590,5739,7600
ADONI,GROUND NUT,2610,4970,6610
ADONI,GROUND NUT,2317,4970,6610
ADONI,CASTOR SEED,3500,5950,5990
ADONI,CASTOR SEED,3500,5950,5990
ADONI,ARHAR WHOLE / TUR (RED GRAM),5390,5390,6387
ADONI,RED CHILLI-DRY,1606,2519,10850
ANANTHAPURAMU,MOUSAMBI,300,1200,2502
DENDULURU,LEMON,3000,3500,8700
DENDULURU,LEMON,3000,5000,6000
DUGGIRALA,TURMERIC FINGER,9200,9200,9200
DUGGIRALA,TURMERIC BULB,7300,11001,11100
DUGGIRALA,TURMERIC BULB,11000,11100,11100
DUGGIRALA,TURMERIC FINGER,7300,11100,11100
ELURU,LEMON,5500,7000,7900
ELURU,LEMON,5500,7000,7900
GUNTUR,CHILLI-341,6000,14500,14500
GUNTUR,CHILLI-334 A/C,8500,8500,8500
GUNTUR,CHILLI-TEJA,3000,12300,14000
GUNTUR,CHILLI BADIGA,7000,10800,13300
GUNTUR,CHILLI-DEVANURU DELUX,7000,12500,13500
GUNTUR,CHILLI-5,8000,8000,12000
GUNTUR,CHILLI-334,7500,9500,12000
GUNTUR,CHILLI-334,6000,9000,25000
GUNTUR,CHILLI-THAALU,3500,7000,12800
GUNTUR,CHILLI-TEJA,3000,12500,14000
GUNTUR,CHILLI-DEVANURU DELUX,7000,12500,13500
GUNTUR,CHILLI-5,8000,8000,12000
GUNTUR,CHILLI-TEJA,3000,13000,14000
GUNTUR,CHILLI-THAALU,3500,7000,7000
GUNTUR,CHILLI BADIGA,7000,10800,13300
GUNTUR,CHILLI BADIGA,9300,9300,9300
GUNTUR,CHILLI TEJA A/C,13000,13000,13000
GUNTUR,CHILLI-334,6000,9000,25000
GUNTUR,CHILLI-341,6000,13000,13000
GUNTUR,CHILLI-334,6000,9000,25000
GUNTUR,CHILLI-5,8000,8000,12000
GUNTUR,CHILLI-341,6000,14500,14500
GUNTUR,CHILLI-THAALU,4500,7000,7000
GUNTUR,CHILLI BADIGA,8000,12000,12000
GUNTUR,CHILLI-273,11500,11500,12500
GUNTUR,CHILLI-TEJA,3000,12500,14000
GUNTUR,CHILLI-DEVANURU DELUX,7000,12500,13500
GUNTUR,CHILLI-341,6000,13000,13500
GUNTUR,CHILLI-341,6000,14500,14500
GUNTUR,CHILLI-THAALU,3500,7000,12800
GUNTUR,CHILLI-DEVANURU DELUX,7000,12500,13500
GUNTUR,CHILLI-TEJA,3000,12500,14000
GUNTUR,CHILLI-THAALU,3500,7000,11000
GUNTUR,CHILLI BADIGA,7000,10800,13300
GUNTUR,CHILLI-273,11500,11500,12500
GUNTUR,CHILLI-334,8500,9500,9800
GUNTUR,CHILLI-273,11500,11500,12500
GURRAMKONDA,TOMATO,800,840,880
HINDUPUR,TAMARIND FLOWER,4500,6500,12600
HINDUPUR,TAMARIND FLOWER,4500,11000,12600
HINDUPUR,RED CHILLI-DRY,7500,13500,15400
HINDUPUR,RED CHILLI-DRY,7500,12500,13500
HINDUPUR,TAMARIND FLOWER,5000,7500,11560
HINDUPUR,RED CHILLI-DRY,10000,13500,13500
HINDUPUR,TAMARIND KARPULI,8000,14500,22300
HINDUPUR,TAMARIND KARPULI,8000,14500,20000
HINDUPUR,TAMARIND FLOWER,10000,10000,11000
HINDUPUR,TAMARIND KARPULI,10500,14500,19800
KADAPA,TURMERIC FINGER,8559,10562,11119
KADAPA,GROUND NUT,6399,6399,6399
KADAPA,TURMERIC FINGER,8559,10562,11119
KADAPA,TURMERIC FINGER,10372,10672,10672
KADAPA,TURMERIC BULB,9125,9715,10789
KADAPA,TURMERIC BULB,9125,9812,10789
KADAPA,TURMERIC BULB,9125,9812,10789
KADAPA,TURMERIC BULB,10242,10242,10512
